Timestamp,Position X,Position Y,Position Z,Orientation X,Orientation Y,Orientation Z,Orientation W
3077.536000000,-2.81165,-1.152,-3.54506e-06,7.37851e-10,1.32247e-08,0.997085,0.0762941
3077.736000000,-2.91721,-1.13642,-3.54363e-06,-4.19705e-09,5.44925e-08,0.997899,0.064784
3077.936000000,-3.02246,-1.12491,-3.54408e-06,1.56714e-09,3.70506e-08,0.998985,0.0450482
3078.136000000,-3.12733,-1.1171,-3.54276e-06,9.93292e-09,4.69322e-08,0.999593,0.0285264
3078.336000000,-3.23462,-1.11258,-3.54411e-06,-9.13325e-11,5.11411e-08,0.999903,0.013904
3078.536000000,-3.34411,-1.11082,-3.54376e-06,-1.27565e-08,5.14824e-08,0.999997,0.00253749
3078.736000000,-3.44912,-1.11089,-3.54306e-06,-2.17359e-09,-6.47842e-09,0.999999,0.00171285
3078.936000000,-3.55401,-1.10955,-3.53823e-06,-1.15899e-09,3.32573e-08,0.999941,0.0108996
3079.136000000,-3.65884,-1.10641,-3.54052e-06,-4.62897e-10,9.84106e-08,0.99982,0.0189753
3079.336000000,-3.76369,-1.10184,-3.62933e-06,6.51725e-09,3.12352e-07,0.999736,0.0229642
3079.536000000,-3.8684,-1.09702,-3.62186e-06,6.22173e-09,2.96996e-07,0.999735,0.0230407
3079.736000000,-3.9732,-1.09199,-3.54437e-06,3.62554e-10,1.05247e-07,0.999642,0.0267396
3079.936000000,-4.07779,-1.08603,-3.53731e-06,-7.1342e-11,5.43862e-08,0.999535,0.0305043
3080.136000000,-4.18232,-1.07932,-3.53843e-06,1.55926e-09,7.05133e-08,0.999465,0.0327099
3080.336000000,-4.28673,-1.07191,-3.63712e-06,8.84747e-09,3.47414e-07,0.999253,0.0386492
3080.536000000,-4.39553,-1.06293,-3.61777e-06,9.59903e-09,2.8337e-07,0.999088,0.0426951
3080.736000000,-4.50507,-1.05338,-3.70985e-06,1.75766e-09,1.06063e-07,0.999044,0.0437073
3080.936000000,-4.61493,-1.04444,-3.63347e-06,-1.87396e-08,-3.64769e-07,0.999169,0.040751
3081.136000000,-4.72444,-1.03379,-3.61903e-06,-2.55567e-09,-3.44141e-08,0.998217,0.0596879
3081.336000000,-4.83318,-1.01782,-3.6113e-06,-2.45922e-09,-2.23745e-08,0.996211,0.0869642
3081.536000000,-4.94127,-0.996507,-3.55213e-06,-1.5316e-08,-9.72056e-08,0.994368,0.105984
3081.736000000,-5.0481,-0.971205,-3.55115e-06,-1.07307e-08,-6.44076e-08,0.992103,0.125426
3081.936000000,-5.15404,-0.941221,-3.54059e-06,-3.15911e-08,-1.8098e-07,0.988455,0.151514
3082.136000000,-5.2577,-0.905128,-3.54705e-06,2.94861e-08,-2.53139e-08,0.983111,0.183012
3082.336000000,-5.35506,-0.864328,-3.5279e-06,-6.91744e-08,-1.33896e-07,0.976822,0.214052
3082.536000000,-5.44969,-0.817396,-3.54713e-06,-5.97912e-08,-7.52166e-08,0.969185,0.246333
3082.736000000,-5.53747,-0.766223,-3.55074e-06,-1.41964e-08,-3.04501e-08,0.960496,0.278295
3082.969000000,-5.62865,-0.703029,-3.54129e-06,-2.5611e-08,-6.60616e-08,0.946747,0.321979
3083.203000000,-5.71479,-0.629895,-3.54382e-06,-5.30116e-08,-1.24544e-07,0.928979,0.370133
3083.436000000,-5.79291,-0.546592,-3.54433e-06,-7.97169e-08,-1.6195e-07,0.903681,0.428206
3083.669000000,-5.85766,-0.452359,-3.54755e-06,-1.14048e-08,-9.50815e-08,0.863414,0.504497
3083.903000000,-5.90436,-0.348305,-3.55934e-06,3.76446e-08,-3.29174e-07,0.811488,0.584369
3084.136000000,-5.93123,-0.238421,-3.55267e-06,-7.66419e-08,-8.78961e-08,0.761472,0.648197
3084.369000000,-5.94165,-0.125071,-3.54385e-06,-1.24125e-07,-1.59542e-07,0.712053,0.702125
3084.569000000,-5.93609,-0.0197074,-3.62456e-06,-3.45299e-07,-3.00881e-07,0.664003,0.74773
3084.769000000,-5.91709,0.0848985,-3.546e-06,-2.03328e-07,-1.56342e-07,0.618527,0.785764
3084.969000000,-5.88674,0.18593,-3.59749e-06,5.12271e-08,5.3975e-08,0.573852,0.818959
3085.169000000,-5.84563,0.284918,-3.54926e-06,-9.24846e-08,-6.45458e-08,0.531294,0.847187
3085.369000000,-5.79481,0.37987,-3.53952e-06,-7.15286e-08,-5.55474e-08,0.494231,0.869331
3085.569000000,-5.73612,0.47115,-3.5336e-06,-1.39171e-07,-5.46908e-08,0.461896,0.886934
3085.769000000,-5.67094,0.55776,-3.54118e-06,-1.26057e-07,-3.40562e-08,0.430481,0.9026
3085.969000000,-5.60066,0.640256,-3.538e-06,-7.94275e-08,-3.0891e-08,0.408487,0.912764
3086.169000000,-5.5271,0.719651,-3.54347e-06,-5.90187e-08,-2.09668e-08,0.392289,0.919842
3086.369000000,-5.45086,0.796371,-3.54045e-06,-3.23943e-08,-9.64028e-09,0.376328,0.926486
3086.569000000,-5.37166,0.870152,-3.56724e-06,-3.64614e-08,7.65978e-09,0.356958,0.934121
3086.769000000,-5.28986,0.9414,-3.54509e-06,-1.32609e-08,-3.89013e-09,0.346641,0.937998
3086.969000000,-5.20732,1.01155,-3.5448e-06,-2.53964e-09,-4.2406e-10,0.343344,0.93921
3087.169000000,-5.12436,1.08127,-3.52468e-06,-1.03283e-07,-3.52237e-08,0.339831,0.940487
3087.369000000,-5.04098,1.15035,-3.54821e-06,-3.31763e-08,-1.17322e-08,0.341433,0.939906
3087.569000000,-4.95809,1.22005,-3.54454e-06,-1.65287e-08,-6.50796e-09,0.34209,0.939667
3087.769000000,-4.87487,1.28929,-3.54534e-06,-7.60824e-09,-2.33151e-09,0.338887,0.940827
3087.969000000,-4.79145,1.35826,-3.54535e-06,-2.95721e-09,-5.69369e-10,0.338446,0.940986
3088.169000000,-4.70758,1.4266,-3.54693e-06,3.25434e-09,-4.14342e-09,0.330677,0.943744
3088.369000000,-4.62545,1.49156,-3.54688e-06,-2.54442e-08,-8.36018e-09,0.328616,0.944464
3088.603000000,-4.54317,1.55627,-3.54694e-06,-2.70308e-08,-8.88155e-09,0.326709,0.945125
3088.869000000,-4.46394,1.61802,-3.5469e-06,-2.71677e-08,-8.80064e-09,0.323625,0.946185
3089.236000000,-4.38115,1.68149,-3.54704e-06,-2.51961e-08,-8.14429e-09,0.321315,0.946973
3089.769000000,-4.30021,1.74359,-3.54773e-06,3.09509e-09,2.08593e-08,0.33195,0.943297
3102.236000000,-4.19504,1.77046,-3.61568e-06,3.05916e-07,-1.25154e-09,-0.0151045,0.999886
3102.436000000,-4.09353,1.76604,-3.63294e-06,3.01257e-07,-4.86021e-09,-0.0262923,0.999654
3102.636000000,-3.98671,1.75994,-3.64522e-06,3.42376e-07,-7.78439e-09,-0.0300977,0.999547
3102.836000000,-3.87995,1.7533,-3.71153e-06,1.07372e-07,-1.40772e-08,-0.0316592,0.999499
3103.036000000,-3.77324,1.74634,-3.68785e-06,4.33239e-08,-1.53806e-08,-0.0334559,0.99944
3103.236000000,-3.66655,1.73911,-3.70662e-06,-5.69688e-08,4.65532e-09,-0.0338966,0.999425
3103.436000000,-3.55983,1.73203,-3.64019e-06,3.44485e-07,-1.36719e-08,-0.032032,0.999487
3103.636000000,-3.45305,1.72538,-3.54512e-06,1.31275e-07,-3.68474e-09,-0.0300729,0.999548
3103.836000000,-3.3462,1.7192,-3.54099e-06,6.26914e-08,-1.2631e-09,-0.0278762,0.999611
3104.036000000,-3.23932,1.71333,-3.54887e-06,-6.48865e-08,2.12375e-09,-0.0291108,0.999576
3104.236000000,-3.13249,1.7068,-3.54902e-06,-5.19224e-08,1.98394e-09,-0.031741,0.999496
3104.436000000,-3.02571,1.69992,-3.55129e-06,-5.83427e-08,2.11507e-09,-0.0329435,0.999457
3104.636000000,-2.91898,1.69277,-3.5527e-06,-5.6435e-08,2.1919e-09,-0.0337123,0.999432
3104.836000000,-2.81224,1.6856,-3.5513e-06,-4.36248e-08,1.74533e-09,-0.0330565,0.999453
3105.036000000,-2.70546,1.67873,-3.5498e-06,-5.85235e-08,2.27681e-09,-0.031197,0.999513
3105.236000000,-2.5986,1.67222,-3.54815e-06,-3.79712e-08,1.58818e-09,-0.0292152,0.999573
3105.436000000,-2.49166,1.66631,-3.5452e-06,-2.44695e-09,5.82711e-10,-0.0261191,0.999659
3105.636000000,-2.38464,1.661,-3.54443e-06,6.98323e-09,2.0631e-10,-0.0231518,0.999732
3105.836000000,-2.27754,1.65627,-3.54432e-06,2.37588e-08,-4.4301e-11,-0.0205079,0.99979
3106.036000000,-2.1704,1.652,-3.54762e-06,-4.64621e-08,1.36494e-09,-0.0211429,0.999776
3106.236000000,-2.06328,1.64718,-3.54934e-06,-6.63284e-08,1.98599e-09,-0.0230188,0.999735
3106.436000000,-1.95621,1.64208,-3.54967e-06,-8.00032e-08,2.40391e-09,-0.0243404,0.999704
3106.636000000,-1.84918,1.63674,-3.54988e-06,-7.90336e-08,2.36878e-09,-0.0255975,0.999672
3106.836000000,-1.74217,1.63124,-3.54997e-06,-6.71204e-08,2.20171e-09,-0.0257711,0.999668
3107.036000000,-1.63516,1.62571,-3.54998e-06,-6.55833e-08,2.16307e-09,-0.0257679,0.999668
3107.236000000,-1.52814,1.62025,-3.54991e-06,-7.11393e-08,2.22495e-09,-0.024915,0.99969
3107.436000000,-1.42105,1.61514,-3.5482e-06,-5.61187e-08,1.74724e-09,-0.0228727,0.999738
3107.636000000,-1.3139,1.61044,-3.54728e-06,-2.41603e-08,9.00532e-10,-0.020512,0.99979
3107.836000000,-1.20667,1.60636,-3.5454e-06,9.5675e-09,2.82907e-10,-0.017663,0.999844
3108.036000000,-1.09938,1.60273,-3.54983e-06,-7.6806e-08,1.47372e-09,-0.0182745,0.999833
3108.236000000,-0.99214,1.59829,-3.54943e-06,-6.57959e-08,1.44151e-10,-0.0228554,0.999739
3108.436000000,-0.884968,1.59312,-3.54323e-06,-1.4452e-07,4.08926e-09,-0.0250286,0.999687
3108.636000000,-0.777825,1.58771,-3.62942e-06,-2.71917e-07,6.81205e-09,-0.0254282,0.999677
3108.836000000,-0.670704,1.58216,-3.59511e-06,-1.97079e-07,5.7446e-09,-0.0260336,0.999661
3109.036000000,-0.56358,1.57658,-3.61412e-06,-2.42334e-07,6.92212e-09,-0.0260195,0.999661
3109.236000000,-0.456434,1.57106,-3.55383e-06,-5.78402e-08,2.40648e-09,-0.0251703,0.999683
3109.436000000,-0.349235,1.56593,-3.55032e-06,-6.84416e-08,-1.79725e-10,-0.0222937,0.999751
3109.636000000,-0.241967,1.56141,-3.54857e-06,-4.92859e-08,1.60998e-09,-0.0201651,0.999797
3109.836000000,-0.134701,1.55699,-3.55399e-06,-5.61317e-08,2.27925e-09,-0.022035,0.999757
3110.036000000,-0.0274751,1.5521,-3.55413e-06,-5.71523e-08,-7.86826e-10,-0.0239261,0.999714
3110.236000000,0.0796905,1.54663,-3.54467e-06,-1.46062e-07,3.08144e-09,-0.0267456,0.999642
3110.436000000,0.186814,1.54081,-3.65305e-06,-2.57114e-07,8.09901e-09,-0.0273891,0.999625
3110.636000000,0.293947,1.53491,-3.63967e-06,-1.64946e-08,9.84054e-10,-0.0290048,0.999579
3110.836000000,0.401013,1.52808,-3.71463e-06,-3.20502e-08,1.58615e-09,-0.0342062,0.999415
3111.036000000,0.508016,1.52036,-3.70474e-06,-1.0193e-07,4.39505e-09,-0.0382936,0.999267
3111.236000000,0.614937,1.51158,-3.70355e-06,-1.20396e-07,5.69797e-09,-0.0432311,0.999065
3111.436000000,0.721781,1.50183,-3.6342e-06,-2.23033e-07,1.07861e-08,-0.0464297,0.998922
3111.636000000,0.828581,1.49173,-3.60004e-06,-2.20766e-07,1.41353e-08,-0.0486952,0.998814
3111.836000000,0.935223,1.48047,-3.60709e-06,-2.47101e-07,1.69039e-08,-0.0560336,0.998429
3112.036000000,1.04168,1.46788,-3.73864e-06,-1.11194e-07,7.40599e-09,-0.0620744,0.998072
3112.236000000,1.14798,1.454,-3.5599e-06,-6.70813e-08,7.42817e-09,-0.0668553,0.997763
3112.436000000,1.25413,1.4394,-3.61523e-06,-2.60732e-07,2.19413e-08,-0.0708719,0.997485
3112.636000000,1.36025,1.42419,-3.58588e-06,-1.47119e-07,4.44219e-09,-0.071095,0.99747
3112.836000000,1.46609,1.40793,-3.60761e-06,-3.0501e-07,3.32944e-08,-0.0813353,0.996687
3113.036000000,1.57161,1.38969,-3.54835e-06,-6.0343e-08,5.74111e-09,-0.0874814,0.996166
3113.236000000,1.67696,1.37088,-3.55121e-06,-6.43811e-08,7.87042e-09,-0.0899429,0.995947
3113.436000000,1.78213,1.35144,-3.62337e-06,-3.18965e-07,3.50956e-08,-0.0933414,0.995634
3113.636000000,1.88728,1.33154,-3.54698e-06,-2.61824e-08,3.0704e-09,-0.0929951,0.995667
3113.836000000,1.9924,1.31199,-3.53379e-06,-2.42163e-08,-5.91847e-09,-0.0874944,0.996165
3114.036000000,2.09782,1.29412,-3.55214e-06,-6.85206e-08,8.38537e-09,-0.0832911,0.996525
3114.236000000,2.20311,1.27572,-3.55525e-06,-5.17989e-08,7.61202e-09,-0.0891048,0.996022
3114.436000000,2.30823,1.25662,-3.55103e-06,-5.04179e-08,2.90433e-09,-0.0907844,0.995871
3114.636000000,2.41319,1.23682,-3.54478e-06,2.09679e-08,-1.45077e-09,-0.0945557,0.99552
3114.836000000,2.51815,1.21697,-3.55098e-06,-1.25736e-07,1.40218e-08,-0.0954777,0.995432
3115.036000000,2.62291,1.19603,-3.58136e-06,-2.00266e-07,1.43092e-08,-0.102202,0.994764
3115.236000000,2.72738,1.1739,-3.54451e-06,2.56513e-08,-3.16175e-09,-0.102658,0.994717
3115.436000000,2.83212,1.15262,-3.54996e-06,-6.85896e-08,7.21784e-09,-0.099032,0.995084
3115.636000000,2.93681,1.13144,-3.5474e-06,-5.51381e-08,5.35306e-09,-0.100769,0.99491
3115.836000000,3.04134,1.10971,-3.54407e-06,-1.4024e-07,1.705e-08,-0.104179,0.994559
3116.036000000,3.14576,1.08734,-3.54509e-06,1.15995e-08,-1.1612e-09,-0.104774,0.994496
3116.236000000,3.25023,1.06532,-3.5454e-06,-8.3347e-10,5.53995e-10,-0.103408,0.994639
3116.436000000,3.35469,1.04317,-3.54366e-06,1.74081e-08,-5.61351e-09,-0.101546,0.994831
3116.636000000,3.45928,1.02172,-3.54821e-06,-1.25447e-07,1.57636e-08,-0.102742,0.994708
3116.836000000,3.56373,0.999567,-3.54744e-06,-3.71107e-08,4.34994e-09,-0.104131,0.994564
3117.036000000,3.66827,0.977682,-3.54558e-06,-3.18962e-09,7.95387e-10,-0.101825,0.994802
3117.236000000,3.77287,0.956042,-3.54717e-06,-3.5604e-08,4.11668e-09,-0.102763,0.994706
3117.436000000,3.87736,0.934089,-3.54802e-06,-6.15591e-08,8.10308e-09,-0.104894,0.994483
3117.636000000,3.98168,0.911481,-3.54429e-06,2.77494e-08,-4.99617e-09,-0.106284,0.994336
3117.836000000,4.08611,0.889242,-3.54488e-06,3.18171e-09,1.33546e-10,-0.103437,0.994636
3118.036000000,4.19062,0.867363,-3.54595e-06,5.93728e-08,4.04571e-09,-0.100043,0.994983
3118.236000000,4.29542,0.846527,-3.63669e-06,-3.18845e-07,3.58094e-08,-0.0991774,0.99507
3118.436000000,4.39996,0.824906,-3.6422e-06,-3.37744e-07,4.01018e-08,-0.104604,0.994514
3118.636000000,4.50435,0.802576,-3.54692e-06,-3.83319e-08,4.67099e-09,-0.105059,0.994466
